ТИП1;ТИП2;ТИП3
Акции (регистрация);Выберите;Выберите
Акции (регистрация);Оборудование на год;Не определено
Акции (регистрация);Пакет минут в подарок;Выберите
Акции (регистрация);Пакет минут в подарок;Не определено
Бизнес-администрирование ЕКБ;Перенос лицевых счетов;Выберите
Бизнес-администрирование ЕКБ;Перенос лицевых счетов;Перенос лицевых счетов организации
Бизнес-администрирование ЕКБ;Перенос лицевых счетов;Перенос лицевых счетов ФЛ
Бизнес-проблема;Выберите;Выберите
Бизнес-проблема;Недоступность услуги/сервиса;Отключение дебиторов
Бизнес-проблема;Продажи/обслуживание;Выберите
Бизнес-проблема;Продажи/обслуживание;Качество обслуживания
Бизнес-проблема;Продажи/обслуживание;Качество продаж
Бизнес-проблема;Продажи/обслуживание;Прочее
Бизнес-проблема;Продвижение/коммуникации;Акции
Бизнес-проблема;Продвижение/коммуникации;Выберите
Бизнес-проблема;Продвижение/коммуникации;Маркет.рассылки
Бизнес-проблема;Продвижение/коммуникации;Некорректная информация на сайте
Бизнес-проблема;Продвижение/коммуникации;Переход на новую технологию
Бизнес-проблема;Продвижение/коммуникации;Прочее
Выберите;Выберите;Выберите
Выберите;Выберите;Не определено
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ/МН включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ/МН отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МН включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МН отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;Выберите
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;МГ/МН включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;МГ/МН отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;МН включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;МН отключение
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Выберите
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Другие услуги
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД) блокировка
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД) разблокировка/изм.даты
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД+IPTV) блокировка
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД+IPTV) разблок-ка/изм.даты
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+IPTV) блокировка
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+IPTV) разблокировка/изм.даты
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ШПД+IPTV) блокировка
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ШПД+IPTV) разблокировка/изм.даты
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Телефония блокировка
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Телефония разблокировка/изменение даты
Дистанционная продажа;Добр. блокировка/разблокировка услуг;ШПД блокировка
Дистанционная продажа;Добр. блокировка/разблокировка услуг;ШПД разблокировка/изменение даты
Дистанционная продажа;Добр. блокировка/разблокировка услуг;IPTV блокировка
Дистанционная продажа;Добр. блокировка/разблокировка услуг;IPTV разблокировка/изменение даты
Дистанционная продажа;Допродажа существующему абоненту;Не определено
Дистанционная продажа;Заявка по конвергентному пакету;Не определено
Дистанционная продажа;Изменение схемы включения;Выберите
Дистанционная продажа;Изменение схемы включения;Телефония
Дистанционная продажа;Изменение схемы включения;ШПД
Дистанционная продажа;Изменение схемы включения;IPTV
Дистанционная продажа;Не определено;Не определено
Дистанционная продажа;Подключение/отключение ДВО;Выберите
Дистанционная продажа;Подключение/отключение ДВО;Отключение ДВО
Дистанционная продажа;Подключение/отключение ДВО;Подключение ДВО
Дистанционная продажа;Подтверждение заявки на подключение;Выберите
Дистанционная продажа;Подтверждение заявки на подключение;Заявка отменена
Дистанционная продажа;Подтверждение заявки на подключение;Заявка подтверждена
Дистанционная продажа;Подтверждение заявки на подключение;Не определено
Дистанционная продажа;Подтверждение заявки на подключение;Требуется повторный звонок клиенту
Дистанционная продажа;Смена тарифного плана;Выберите
Дистанционная продажа;Смена тарифного плана;Пакет (ОТА+ДВО)
Дистанционная продажа;Смена тарифного плана;Пакет (ОТА+ШПД)
Дистанционная продажа;Смена тарифного плана;Пакет (ОТА+ШПД+IPTV)
Дистанционная продажа;Смена тарифного плана;Пакет (ОТА+IPTV)
Дистанционная продажа;Смена тарифного плана;Пакет (ШПД+IPTV)
Дистанционная продажа;Смена тарифного плана;Прочие услуги
Дистанционная продажа;Смена тарифного плана;Телефония. ВЗ/МГ/МН
Дистанционная продажа;Смена тарифного плана;Телефония
Дистанционная продажа;Смена тарифного плана;ШПД
Дистанционная продажа;Смена тарифного плана;IPTV
Дистанционная продажа;Смена технологии подключения;Выберите
Дистанционная продажа;Смена технологии подключения;Пакет (ОТА+ДВО)
Дистанционная продажа;Смена технологии подключения;Пакет (ОТА+ШПД)
Дистанционная продажа;Смена технологии подключения;Пакет (ОТА+ШПД+IPTV)
Дистанционная продажа;Смена технологии подключения;Пакет (ОТА+IPTV)
Дистанционная продажа;Смена технологии подключения;Пакет (ШПД+IPTV)
Дистанционная продажа;Смена технологии подключения;Телефония
Дистанционная продажа;Смена технологии подключения;ШПД
Дистанционная продажа;Смена технологии подключения;IPTV
Дистанционная продажа;Требуется проверка ТВ;Не определено
Дистанционная продажа;Управление опциями ЕШПД;Выберите
Дистанционная продажа;Управление опциями ЕШПД;Дополнительные IP-адреса
Дистанционная продажа;Управление опциями ЕШПД;Ночное ускорение
Дистанционная продажа;Управление опциями ЕШПД;Отмена ограничений
Дистанционная продажа;Управление опциями ЕШПД;Фиксированный IP адрес
Дистанционная продажа;Управление опциями IPTV;Выберите
Дистанционная продажа;Управление опциями IPTV;Доп Пакет Взрослый
Дистанционная продажа;Управление опциями IPTV;Доп Пакет Наш футбол
Дистанционная продажа;Управление опциями IPTV;Доп Пакет Плюс футбол
Дистанционная продажа;Управление опциями IPTV;Доп Пакет Твое кино
Дистанционная продажа;Управление опциями IPTV;Доп Пакет Твой идеальный HD
Дистанционная продажа;Управление опциями IPTV;Доп Пакет Amedia Premium
Дистанционная продажа;Управление опциями IPTV;Доп Пакет Viasat Премиум HD
Дистанционная продажа;Управление опциями IPTV;Пакет Детский
Дистанционная продажа;Управление опциями IPTV;Пакет Кино
Дистанционная продажа;Управление опциями IPTV;Пакет Максимальный
Дистанционная продажа;Управление опциями IPTV;Пакет Музыкальный
Дистанционная продажа;Управление опциями IPTV;Пакет Познавательный
Дистанционная продажа;Управление опциями IPTV;Пакет Популярный
Дистанционная продажа;Управление опциями IPTV;Пакет Спортивный
Дистанционная продажа;Управление опциями IPTV;Пакет Твой Оптимальный
Дистанционная продажа;Управление опциями IPTV;Пакет Твой Премьерный
Дистанционная продажа;Управление опциями IPTV;Пакет Твой Продвинутый
Дистанционная продажа;Управление опциями IPTV;Пакет Твой Стартовый
Дистанционная продажа;Управление опциями IPTV;Подписка Волшебный мир Disney
Дистанционная продажа;Управление опциями IPTV;Подписка Детский мир
Дистанционная продажа;Управление опциями IPTV;Подписка Женский клуб
Дистанционная продажа;Управление опциями IPTV;Подписка Сделано в России
Дистанционная продажа;Управление опциями IPTV;Подписка Amedia Premium
Дистанционная продажа;Управление опциями IPTV;Подписка Picture box
Доп. продажи. Антивирус и Род.Контроль;Выберите;Выберите
Доп. продажи. Антивирус и Род.Контроль;Подключить Антивирус;Подключить Антивирус
Доп. продажи. Антивирус и Род.Контроль;Подключить Родительский Контроль;Подключить Родительский Контроль
Доп. продажи. ДВО;Подключить услугу;Подключить услугу
Доп. продажи. Оборудование;Не определено;Не определено
Доп. продажи. Опции Интернет;Выберите;Выберите
Доп. продажи. Опции Интернет;"Подключить ""100+""";"Подключить ""100+"""
Доп. продажи. Опции Интернет;"Подключить ""Безопасный интернет""";"Подключить ""Безопасный интернет"""
Доп. продажи. Опции Интернет;"Подключить ""Ребенок в доме""";"Подключить ""Ребенок в доме"""
Доп. продажи. Опции Интернет;"Подключить ""Серфинг""";"Подключить ""Серфинг"""
Доп. продажи. Опции Интернет;"Подключить ""Социальные сети""";"Подключить ""Социальные сети"""
Доп. продажи. Опции Интернет;"Подключить ""Торрент""";"Подключить ""Торрент"""
Доп. продажи. Опции Интернет;Подключить Ночное ускорение;Подключить Ночное ускорение
Доп. продажи. Опции Интернет;Подключить Фиксированный IP;Подключить Фиксированный IP
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Выберите;Выберите
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Выберите
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Доп пакет Взрослый
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Доп пакет Наш футбол
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Доп пакет Плюс футбол
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Доп пакет Твое кино
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Доп Пакет Твой идеальный HD
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Пакет Твой Оптимальный
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Пакет Твой Продвинутый
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Viasat за полцены + TV1000PLAY
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить пакет;Viasat HD Премиум
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить подписку;Волшебный мир Disney
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить подписку;Выберите
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить подписку;Детский клуб
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить подписку;Подписка Женский клуб
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить подписку;Подписка Picture box
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить подписку;Сделано в России
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить подписку;Amedia Premium
Доп. продажи. Пакеты/Подписки/Опции ИТВ;Подключить Упр. Просмотром;Подключить Упр. Просмотром
Запрос встречи;Выберите;Выберите
Запрос встречи;Изменение условий договора;Выберите
Запрос встречи;Изменение условий договора;Инициировать встречу
Запрос встречи;Изменение условий договора;Предоставить документ
Запрос встречи;Плановая встреча;Выберите
Запрос встречи;Плановая встреча;Инициировать встречу
Запрос встречи;Плановая встреча;Предоставить документ
Запрос встречи;Представление нового сотрудника;Выберите
Запрос встречи;Представление нового сотрудника;Инициировать встречу
Запрос встречи;Представление нового сотрудника;Предоставить документ
Запрос информации;Выберите;Выберите
Запрос информации;Дебиторская задолженность;Предоставить документ
Запрос информации;Детализация вызовов;Предоставить документ
Запрос информации;Информация о технических проблемах;Предоставить документ
Запрос информации;Контакты, телефоны;Предоставить документ
Запрос информации;Персональное обслуживание;Перезвонить позднее
Запрос информации;Сверка состава услуг;Предоставить документ
Запрос информации;Статус заказа;Предоставить документ
Запрос информации;Статус претензии;Предоставить документ
Запрос информации;Условия обслуживания;Предоставить документ
Запрос отчета;Выберите;Выберите
Запрос отчета;Нестандартный отчет;Предоставить документ
Запрос отчета;Отчет по трафику/доступности/гр.загрузки;Предоставить документ
Запрос отчета;Отчет по ТТ;Предоставить документ
Исполнение заказа;Не определено;Не определено
ИТ поддержка;Включение после оплаты задолженности;Включить интернет
ИТ поддержка;Включение после оплаты задолженности;Включить МГ/МН
ИТ поддержка;Включение после оплаты задолженности;Включить ОТА
ИТ поддержка;Включение после оплаты задолженности;Выберите
ИТ поддержка;Включение после оплаты задолженности;Подключить услугу(и)
ИТ поддержка;Выберите;Выберите
ИТ поддержка;Непоступление платежа;Поиск платежа
ИТ поддержка;Ошибка в наряде;Не определено
ИТ поддержка;Перенос периода действия услуги;Внести изменения
ИТ поддержка;Приведение в соотв. cтатуса услуги в АСР;Внести изменения
ИТ поддержка;Проверка баланса;Провести расследование
ИТ поддержка;Проверка длит. и факта соединений/сессий;Провести расследование
ИТ поддержка;Проверка корректности тарификации;Провести расследование
ИТ поддержка;Проверка начисления скидки;Провести расследование
ИТ-проблема;Выберите;Выберите
ИТ-проблема;Недоступность услуги/сервиса;Авторизация
ИТ-проблема;Недоступность услуги/сервиса;Выберите
ИТ-проблема;Недоступность услуги/сервиса;Доставка и просмотр счета
ИТ-проблема;Недоступность услуги/сервиса;Непоступление платежей
ИТ-проблема;Недоступность услуги/сервиса;Онлайн чат
ИТ-проблема;Недоступность услуги/сервиса;Оплата услуг
ИТ-проблема;Недоступность услуги/сервиса;Плановые работы
ИТ-проблема;Недоступность услуги/сервиса;Подкл./откл. опции
ИТ-проблема;Недоступность услуги/сервиса;Подкл./откл. услуги
ИТ-проблема;Недоступность услуги/сервиса;Приобретение подарков за бонусы
ИТ-проблема;Недоступность услуги/сервиса;Приобретение фильмов за бонусы
ИТ-проблема;Недоступность услуги/сервиса;Просмотр инфо по бонусам
ИТ-проблема;Недоступность услуги/сервиса;Просмотр инфо по начислениям
ИТ-проблема;Недоступность услуги/сервиса;Прочее
ИТ-проблема;Недоступность услуги/сервиса;Регистрация
ИТ-проблема;Недоступность услуги/сервиса;Сбой в работе информац.систем
ИТ-проблема;Недоступность услуги/сервиса;Смена тарифного плана
ИТ-проблема;Недоступность услуги/сервиса;Форма Обратной связи
ИТ-проблема;Некорректная тарификация;Выберите
ИТ-проблема;Некорректная тарификация;Ошибки заведения тариф.планов
ИТ-проблема;Некорректная тарификация;Ошибки формирования счетов
ИТ-проблема;Некорректная тарификация;Прочее
ИТ-проблема;Низкое качество услуги/сервиса;Авторизация
ИТ-проблема;Низкое качество услуги/сервиса;Выберите
ИТ-проблема;Низкое качество услуги/сервиса;Доставка и просмотр счета
ИТ-проблема;Низкое качество услуги/сервиса;Задержка поступления платежей
ИТ-проблема;Низкое качество услуги/сервиса;Онлайн чат
ИТ-проблема;Низкое качество услуги/сервиса;Оплата услуг
ИТ-проблема;Низкое качество услуги/сервиса;Плановые работы
ИТ-проблема;Низкое качество услуги/сервиса;Подкл./откл. опции
ИТ-проблема;Низкое качество услуги/сервиса;Подкл./откл. услуги
ИТ-проблема;Низкое качество услуги/сервиса;Приобретение подарков за бонусы
ИТ-проблема;Низкое качество услуги/сервиса;Приобретение фильмов за бонусы
ИТ-проблема;Низкое качество услуги/сервиса;Просмотр инфо по бонусам
ИТ-проблема;Низкое качество услуги/сервиса;Просмотр инфо по начислениям
ИТ-проблема;Низкое качество услуги/сервиса;Прочее
ИТ-проблема;Низкое качество услуги/сервиса;Регистрация
ИТ-проблема;Низкое качество услуги/сервиса;Сбой в работе информац.систем
ИТ-проблема;Низкое качество услуги/сервиса;Смена тарифного плана
ИТ-проблема;Низкое качество услуги/сервиса;Форма Обратной связи
Конфигур.сист.самообсл.;Выберите;Выберите
Конфигур.сист.самообсл.;Личный кабинет (BFN);Выберите
Конфигур.сист.самообсл.;Личный кабинет (BFN);Изменить настройки
Конфигур.сист.самообсл.;Личный кабинет (BFN);Предоставить учетные данные
Конфигур.сист.самообсл.;Websmap;Выберите
Конфигур.сист.самообсл.;Websmap;Изменить настройки
Конфигур.сист.самообсл.;Websmap;Предоставить учетные данные
Конфигур.сист.самообсл.;WiSLA;Выберите
Конфигур.сист.самообсл.;WiSLA;Изменить настройки
Конфигур.сист.самообсл.;WiSLA;Предоставить учетные данные
Конфигурация услуг клиента;АКС;Изменить параметры услуги
Конфигурация услуг клиента;Виртуальный IVR;Изменить параметры услуги
Конфигурация услуг клиента;ВКС;Изменить параметры услуги
Конфигурация услуг клиента;Выберите;Выберите
Конфигурация услуг клиента;Зоновая Связь авт;Изменить параметры услуги
Конфигурация услуг клиента;Зоновая Связь полуавт;Изменить параметры услуги
Конфигурация услуг клиента;Интернет ADSL;Изменить параметры услуги
Конфигурация услуг клиента;Интернет;Изменить параметры услуги
Конфигурация услуг клиента;ИСС (8-800);Изменить параметры услуги
Конфигурация услуг клиента;Каналы ТВРВ;Изменить параметры услуги
Конфигурация услуг клиента;Корпоративный email;Изменить параметры услуги
Конфигурация услуг клиента;Личный кабинет;Изменить параметры услуги
Конфигурация услуг клиента;МГ-каналы;Изменить параметры услуги
Конфигурация услуг клиента;МГМН авт;Изменить параметры услуги
Конфигурация услуг клиента;МГМН полуавт;Изменить параметры услуги
Конфигурация услуг клиента;Местная Связь;Изменить параметры услуги
Конфигурация услуг клиента;МН-каналы;Изменить параметры услуги
Конфигурация услуг клиента;Предост. в польз. комплекса ресурсов;Изменить параметры услуги
Конфигурация услуг клиента;Предост.в польз. Оборуд. на MPLS сети;Изменить параметры услуги
Конфигурация услуг клиента;Разм.и админ.прямых и обратных зон;Изменить параметры услуги
Конфигурация услуг клиента;Рег.Домен.имен 2 и 3 уровня;Изменить параметры услуги
Конфигурация услуг клиента;Спутник LM;Изменить параметры услуги
Конфигурация услуг клиента;Телеголосование (8-803);Изменить параметры услуги
Конфигурация услуг клиента;Телеграмма;Изменить параметры услуги
Конфигурация услуг клиента;Телеграфные каналы;Изменить параметры услуги
Конфигурация услуг клиента;ТСС;Изменить параметры услуги
Конфигурация услуг клиента;Удаленный доступ к VPN;Изменить параметры услуги
Конфигурация услуг клиента;ЭТО;Изменить параметры услуги
Конфигурация услуг клиента;Co-location;Изменить параметры услуги
Конфигурация услуг клиента;Dedicated server;Изменить параметры услуги
Конфигурация услуг клиента;IFS Inbound;Изменить параметры услуги
Конфигурация услуг клиента;IP VPN;Изменить параметры услуги
Конфигурация услуг клиента;MPLS L2 VPN;Изменить параметры услуги
Конфигурация услуг клиента;VPLS;Изменить параметры услуги
Конфигурация услуг клиента;VTN (Програмный коммутатор);Изменить параметры услуги
Конфигурация услуг;Антивирус и Родительский Контроль;Включить
Конфигурация услуг;Антивирус и Родительский Контроль;Отключить
Конфигурация услуг;Блок/разблок номера по желанию;Блокировка номера
Конфигурация услуг;Блок/разблок номера по желанию;Выберите
Конфигурация услуг;Блок/разблок номера по желанию;Разблокировка номера
Конфигурация услуг;Блок/разблок номера по утере/краже;Блокировка номера
Конфигурация услуг;Блок/разблок номера по утере/краже;Выберите
Конфигурация услуг;Блок/разблок номера по утере/краже;Разблокировка номера
Конфигурация услуг;Блокировка SIM-карты по утере/краже;Выберите
Конфигурация услуг;Блокировка SIM-карты по утере/краже;Отключить услугу
Конфигурация услуг;Блокировка SIM-карты по утере/краже;Подключить услугу
Конфигурация услуг;Блокировка SIM-карты по утере/краже;Услуга подключена
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;ВЗ включение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;ВЗ отключение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ включение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ отключение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ/МН включение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ/МН отключение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;ВЗ/МН включение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;ВЗ/МН отключение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;Выберите
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;МГ/МН включение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;МГ/МН отключение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;МН включение
Конфигурация услуг;Вкл. откл ВЗ/МГ/МН;МН отключение
Конфигурация услуг;Вкл./откл антивирус;Включить
Конфигурация услуг;Вкл./откл антивирус;Отключить
Конфигурация услуг;Вкл/отключение доп. услуг;АнтиАОН
Конфигурация услуг;Вкл/отключение доп. услуг;АОН
Конфигурация услуг;Вкл/отключение доп. услуг;Выберите
Конфигурация услуг;Вкл/отключение доп. услуг;Интернет
Конфигурация услуг;Вкл/отключение доп. услуг;Информер
Конфигурация услуг;Вкл/отключение доп. услуг;Контент-услуги
Конфигурация услуг;Вкл/отключение доп. услуг;Конференц-связь
Конфигурация услуг;Вкл/отключение доп. услуг;Корпоративные услуги
Конфигурация услуг;Вкл/отключение доп. услуг;Кто звонил
Конфигурация услуг;Вкл/отключение доп. услуг;Любимое направление
Конфигурация услуг;Вкл/отключение доп. услуг;МГ/МН связь
Конфигурация услуг;Вкл/отключение доп. услуг;Пакеты услуг
Конфигурация услуг;Вкл/отключение доп. услуг;Переадресация
Конфигурация услуг;Вкл/отключение доп. услуг;Прочие услуги
Конфигурация услуг;Вкл/отключение доп. услуг;Роуминг
Конфигурация услуг;Вкл/отключение доп. услуг;Удерж/ожидание вызова
Конфигурация услуг;Вкл/отключение доп. услуг;Услуги при нуле
Конфигурация услуг;Вкл/отключение доп. услуг;Экосистема ДМХ
Конфигурация услуг;Вкл/отключение доп. услуг;MMS
Конфигурация услуг;Вкл/отключение доп. услуг;SMS-antispam
Конфигурация услуг;Вкл/отключение доп. услуг;SMS
Конфигурация услуг;Возврат оборудования;Создана заявка в ЕСУЗ
Конфигурация услуг;Выберите;Выберите
Конфигурация услуг;Гарантия+;Включить
Конфигурация услуг;Гарантия+;Выберите
Конфигурация услуг;Гарантия+;Отключить
Конфигурация услуг;Добр. блокировка/разблокировка КПП;Выберите
Конфигурация услуг;Добр. блокировка/разблокировка КПП;Отключить услугу
Конфигурация услуг;Добр. блокировка/разблокировка КПП;Подключить услугу
Конфигурация услуг;Добр. блокировка/разблокировка КПП;Услуга отключена
Конфигурация услуг;Добр. блокировка/разблокировка КПП;Услуга подключена
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Выберите
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Другие услуги
Конфигурация услуг;Добр. блокировка/разблокировка услуг;еШПД
Конфигурация услуг;Добр. блокировка/разблокировка услуг;еIPTV
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД) блокировка
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД) включение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД) отключение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД) разблокировка/изм.даты
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД)
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД+IPTV) блокировка
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД+IPTV) включение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД+IPTV) отключение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД+IPTV) разблок-ка/изм.даты
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД+IPTV)
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+IPTV) блокировка
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+IPTV) включение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+IPTV) отключение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+IPTV) разблокировка/изм.даты
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ОТА+IPTV)
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ШПД+IPTV) блокировка
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ШПД+IPTV) включение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ШПД+IPTV) отключение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ШПД+IPTV) разблокировка/изм.даты
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Пакет (ШПД+IPTV)
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Телефония блокировка
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Телефония включение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Телефония отключение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Телефония разблокировка/изменение даты
Конфигурация услуг;Добр. блокировка/разблокировка услуг;Телефония
Конфигурация услуг;Добр. блокировка/разблокировка услуг;ШПД блокировка
Конфигурация услуг;Добр. блокировка/разблокировка услуг;ШПД включение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;ШПД влючение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;ШПД отключение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;ШПД разблокировка/изменение даты
Конфигурация услуг;Добр. блокировка/разблокировка услуг;ШПД
Конфигурация услуг;Добр. блокировка/разблокировка услуг;IPTV блокировка
Конфигурация услуг;Добр. блокировка/разблокировка услуг;IPTV включение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;IPTV отключение
Конфигурация услуг;Добр. блокировка/разблокировка услуг;IPTV разблокировка/изменение даты
Конфигурация услуг;Добр. блокировка/разблокировка услуг;IPTV
Конфигурация услуг;Добр. блокировка/разблокировка услуг;VPN
Конфигурация услуг;Замена SIM;Владельцу договора
Конфигурация услуг;Замена SIM;Выберите
Конфигурация услуг;Замена SIM;Пользователю услуги
Конфигурация услуг;Изменение схемы включения/технологии;Выберите
Конфигурация услуг;Изменение схемы включения/технологии;Телефония
